2023-05-16-15-47-21,stress,87bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-47-22,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-47-23,stress,87bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-47-24,stress,88bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-47-25,stress,89bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-47-26,stress,88bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-47-27,stress,88bpm,-1.0Hz,14.0dBm,100.0%,67%
2023-05-16-15-47-28,stress,86bpm,-1.0Hz,18.0dBm,100.0%,67%
2023-05-16-15-47-29,stress,85bpm,-1.0Hz,15.0dBm,100.0%,67%
2023-05-16-15-47-30,stress,84bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-47-31,stress,83bpm,-1.0Hz,18.0dBm,100.0%,67%
2023-05-16-15-47-32,stress,82bpm,-1.0Hz,160.0dBm,100.0%,67%
2023-05-16-15-47-33,stress,82bpm,209.0Hz,170.0dBm,0.041127205%,67%
2023-05-16-15-47-34,stress,83bpm,-1.0Hz,1.0dBm,100.0%,67%
2023-05-16-15-47-35,stress,85bpm,-1.0Hz,32.0dBm,100.0%,67%
2023-05-16-15-47-36,stress,86bpm,-1.0Hz,13.0dBm,100.0%,67%
2023-05-16-15-47-37,stress,86bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-47-38,stress,86bpm,-1.0Hz,23.0dBm,100.0%,67%
2023-05-16-15-47-39,stress,85bpm,-1.0Hz,22.0dBm,100.0%,67%
2023-05-16-15-47-40,stress,85bpm,-1.0Hz,23.0dBm,100.0%,67%
2023-05-16-15-47-41,stress,84bpm,-1.0Hz,7.0dBm,100.0%,67%
2023-05-16-15-47-42,stress,83bpm,-1.0Hz,21.0dBm,100.0%,67%
2023-05-16-15-47-43,stress,82bpm,-1.0Hz,17.0dBm,100.0%,67%
2023-05-16-15-47-44,stress,83bpm,-1.0Hz,23.0dBm,100.0%,67%
2023-05-16-15-47-45,stress,84bpm,-1.0Hz,11.0dBm,100.0%,67%
2023-05-16-15-47-46,stress,85bpm,-1.0Hz,6.0dBm,100.0%,67%
2023-05-16-15-47-47,stress,86bpm,-1.0Hz,12.0dBm,100.0%,67%
2023-05-16-15-47-48,stress,85bpm,284.0Hz,30.0dBm,14.633142%,67%
2023-05-16-15-47-49,stress,84bpm,170.0Hz,79.0dBm,9.799438%,83%
2023-05-16-15-47-50,stress,83bpm,-1.0Hz,11.0dBm,100.0%,67%
2023-05-16-15-47-51,stress,83bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-47-52,stress,82bpm,-1.0Hz,11.0dBm,100.0%,67%
2023-05-16-15-47-53,stress,80bpm,152.0Hz,92.0dBm,17.093199%,83%
2023-05-16-15-47-54,stress,81bpm,-1.0Hz,14.0dBm,100.0%,67%
2023-05-16-15-47-55,stress,82bpm,-1.0Hz,6.0dBm,100.0%,67%
2023-05-16-15-47-56,stress,83bpm,147.0Hz,78.0dBm,6.885582%,83%
2023-05-16-15-47-57,stress,84bpm,-1.0Hz,7.0dBm,100.0%,67%
2023-05-16-15-47-58,stress,85bpm,-1.0Hz,24.0dBm,100.0%,67%
2023-05-16-15-47-59,stress,86bpm,-1.0Hz,7.0dBm,100.0%,67%
2023-05-16-15-48-00,stress,85bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-48-01,stress,85bpm,-1.0Hz,34.0dBm,100.0%,67%
2023-05-16-15-48-02,stress,86bpm,-1.0Hz,5.0dBm,100.0%,67%
2023-05-16-15-48-03,stress,87bpm,214.0Hz,40.0dBm,19.950974%,83%
2023-05-16-15-48-04,stress,88bpm,269.0Hz,64.0dBm,7.3103848%,67%
2023-05-16-15-48-05,stress,88bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-48-06,stress,86bpm,-1.0Hz,14.0dBm,100.0%,67%
2023-05-16-15-48-07,stress,85bpm,189.0Hz,32.0dBm,18.612492%,83%
2023-05-16-15-48-08,stress,85bpm,-1.0Hz,9.0dBm,100.0%,67%
2023-05-16-15-48-09,stress,85bpm,-1.0Hz,17.0dBm,100.0%,67%
2023-05-16-15-48-10,stress,85bpm,701.0Hz,51.0dBm,14.582801%,67%
2023-05-16-15-48-11,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-12,stress,88bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-13,stress,88bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-14,stress,88bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-15,stress,87bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-16,stress,87bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-17,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-18,stress,86bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-19,stress,89bpm,-1.0Hz,0.0dBm,100.0%,67%
2023-05-16-15-48-20,stress,87bpm,-1.0Hz,8.0dBm,100.0%,67%
2023-05-16-15-48-21,stress,85bpm,-1.0Hz,12.0dBm,100.0%,67%
2023-05-16-15-48-22,stress,85bpm,-1.0Hz,15.0dBm,100.0%,67%
2023-05-16-15-48-23,stress,85bpm,176.0Hz,36.0dBm,11.920124%,83%
2023-05-16-15-48-24,stress,86bpm,-1.0Hz,12.0dBm,100.0%,67%
2023-05-16-15-48-25,calm,0bpm,-1.0Hz,22.0dBm,100.0%,100%
2023-05-16-15-48-26,calm,0bpm,-1.0Hz,19.0dBm,100.0%,100%
2023-05-16-15-48-27,calm,0bpm,-1.0Hz,13.0dBm,100.0%,100%
2023-05-16-15-48-28,calm,0bpm,-1.0Hz,10.0dBm,100.0%,100%
2023-05-16-15-48-29,calm,0bpm,-1.0Hz,37.0dBm,100.0%,100%
2023-05-16-15-48-30,stress,0bpm,885.0Hz,222.0dBm,3.7108839%,50%
2023-05-16-15-48-31,calm,0bpm,77.0Hz,33.0dBm,8.728689%,100%
2023-05-16-15-48-32,calm,0bpm,-1.0Hz,27.0dBm,100.0%,100%
2023-05-16-15-48-33,stress,0bpm,-1.0Hz,44.0dBm,100.0%,67%
2023-05-16-15-48-34,calm,0bpm,-1.0Hz,20.0dBm,100.0%,100%
2023-05-16-15-48-35,calm,0bpm,-1.0Hz,18.0dBm,100.0%,100%
2023-05-16-15-48-36,stress,0bpm,244.0Hz,71.0dBm,6.374592%,50%
2023-05-16-15-48-37,calm,0bpm,-1.0Hz,10.0dBm,100.0%,100%
2023-05-16-15-48-38,stress,0bpm,-1.0Hz,41.0dBm,100.0%,67%
2023-05-16-15-48-39,calm,0bpm,-1.0Hz,23.0dBm,100.0%,100%
2023-05-16-15-48-40,calm,0bpm,-1.0Hz,24.0dBm,100.0%,100%
2023-05-16-15-48-41,calm,0bpm,-1.0Hz,8.0dBm,100.0%,100%
2023-05-16-15-48-42,calm,0bpm,100.0Hz,33.0dBm,16.856743%,100%
2023-05-16-15-48-43,calm,0bpm,-1.0Hz,23.0dBm,100.0%,100%
2023-05-16-15-48-44,stress,0bpm,198.0Hz,58.0dBm,17.748625%,67%
2023-05-16-15-48-45,calm,0bpm,-1.0Hz,30.0dBm,100.0%,100%
2023-05-16-15-48-46,calm,0bpm,-1.0Hz,29.0dBm,100.0%,100%
2023-05-16-15-48-47,calm,0bpm,-1.0Hz,15.0dBm,100.0%,100%
2023-05-16-15-48-48,stress,0bpm,-1.0Hz,81.0dBm,100.0%,50%
2023-05-16-15-48-49,stress,0bpm,331.0Hz,73.0dBm,12.484908%,50%
2023-05-16-15-48-50,calm,0bpm,-1.0Hz,19.0dBm,100.0%,100%
2023-05-16-15-48-51,calm,0bpm,58.0Hz,34.0dBm,19.689316%,100%
2023-05-16-15-48-52,stress,0bpm,209.0Hz,50.0dBm,13.987202%,50%
2023-05-16-15-48-53,calm,0bpm,-1.0Hz,28.0dBm,100.0%,100%
2023-05-16-15-48-54,stress,0bpm,117.0Hz,43.0dBm,14.307338%,67%
2023-05-16-15-48-55,calm,0bpm,-1.0Hz,32.0dBm,100.0%,100%
2023-05-16-15-48-56,calm,0bpm,-1.0Hz,19.0dBm,100.0%,100%
2023-05-16-15-48-57,stress,0bpm,-1.0Hz,75.0dBm,100.0%,50%
2023-05-16-15-48-58,calm,0bpm,-1.0Hz,16.0dBm,100.0%,100%
2023-05-16-15-48-59,stress,0bpm,-1.0Hz,43.0dBm,100.0%,67%
2023-05-16-15-49-00,calm,0bpm,-1.0Hz,26.0dBm,100.0%,100%
2023-05-16-15-49-01,stress,0bpm,95.0Hz,63.0dBm,19.45033%,50%
2023-05-16-15-49-02,stress,0bpm,-1.0Hz,72.0dBm,100.0%,50%
2023-05-16-15-49-03,calm,0bpm,-1.0Hz,34.0dBm,100.0%,100%
2023-05-16-15-49-04,calm,0bpm,-1.0Hz,37.0dBm,100.0%,100%
2023-05-16-15-49-05,stress,0bpm,-1.0Hz,43.0dBm,100.0%,67%
2023-05-16-15-49-06,calm,0bpm,-1.0Hz,12.0dBm,100.0%,100%
2023-05-16-15-49-07,calm,0bpm,-1.0Hz,35.0dBm,100.0%,100%
2023-05-16-15-49-08,calm,0bpm,-1.0Hz,25.0dBm,100.0%,100%
2023-05-16-15-49-09,calm,0bpm,-1.0Hz,12.0dBm,100.0%,100%
2023-05-16-15-49-10,calm,0bpm,-1.0Hz,22.0dBm,100.0%,100%
2023-05-16-15-49-11,stress,0bpm,187.0Hz,18.0dBm,17.298561%,67%
2023-05-16-15-49-12,calm,0bpm,-1.0Hz,14.0dBm,100.0%,100%
2023-05-16-15-49-13,stress,0bpm,-1.0Hz,62.0dBm,100.0%,50%
2023-05-16-15-49-14,stress,0bpm,-1.0Hz,38.0dBm,100.0%,67%
2023-05-16-15-49-15,stress,0bpm,218.0Hz,30.0dBm,13.0549135%,50%
2023-05-16-15-49-16,calm,0bpm,-1.0Hz,20.0dBm,100.0%,100%
2023-05-16-15-49-17,stress,0bpm,-1.0Hz,45.0dBm,100.0%,67%
2023-05-16-15-49-18,calm,0bpm,-1.0Hz,21.0dBm,100.0%,100%
2023-05-16-15-49-19,calm,0bpm,-1.0Hz,16.0dBm,100.0%,100%
2023-05-16-15-49-20,stress,0bpm,-1.0Hz,67.0dBm,100.0%,50%
2023-05-16-15-49-21,calm,0bpm,-1.0Hz,22.0dBm,100.0%,100%
2023-05-16-15-49-22,stress,0bpm,-1.0Hz,45.0dBm,100.0%,67%
2023-05-16-15-49-23,stress,0bpm,346.0Hz,66.0dBm,17.319721%,50%
2023-05-16-15-49-24,calm,0bpm,-1.0Hz,22.0dBm,100.0%,100%
2023-05-16-15-49-25,calm,0bpm,-1.0Hz,25.0dBm,100.0%,100%
2023-05-16-15-49-26,calm,0bpm,-1.0Hz,20.0dBm,100.0%,100%
2023-05-16-15-49-27,calm,0bpm,-1.0Hz,34.0dBm,100.0%,100%
2023-05-16-15-49-28,stress,0bpm,217.0Hz,25.0dBm,11.120832%,50%
2023-05-16-15-49-29,stress,0bpm,-1.0Hz,46.0dBm,100.0%,67%
2023-05-16-15-49-30,stress,0bpm,-1.0Hz,44.0dBm,100.0%,67%
2023-05-16-15-49-31,stress,0bpm,437.0Hz,61.0dBm,12.896699%,50%
2023-05-16-15-49-32,calm,0bpm,-1.0Hz,10.0dBm,100.0%,100%
2023-05-16-15-49-33,stress,0bpm,890.0Hz,152.0dBm,9.190977%,50%
2023-05-16-15-49-34,calm,0bpm,-1.0Hz,36.0dBm,100.0%,100%
2023-05-16-15-49-35,calm,0bpm,109.0Hz,33.0dBm,11.872679%,100%
2023-05-16-15-49-36,calm,0bpm,-1.0Hz,18.0dBm,100.0%,100%
2023-05-16-15-49-37,stress,0bpm,1585.0Hz,111.0dBm,16.691511%,50%
2023-05-16-15-49-38,stress,0bpm,233.0Hz,47.0dBm,15.17049%,67%
2023-05-16-15-49-39,calm,0bpm,-1.0Hz,16.0dBm,100.0%,100%
2023-05-16-15-49-40,calm,0bpm,-1.0Hz,16.0dBm,100.0%,100%
2023-05-16-15-49-41,calm,0bpm,-1.0Hz,34.0dBm,100.0%,100%
2023-05-16-15-49-42,stress,0bpm,-1.0Hz,51.0dBm,100.0%,50%
2023-05-16-15-49-43,stress,0bpm,441.0Hz,132.0dBm,19.392855%,50%
2023-05-16-15-49-44,calm,0bpm,-1.0Hz,25.0dBm,100.0%,100%
2023-05-16-15-49-45,stress,0bpm,-1.0Hz,40.0dBm,100.0%,67%
2023-05-16-15-49-46,calm,0bpm,-1.0Hz,34.0dBm,100.0%,100%
2023-05-16-15-49-47,stress,0bpm,587.0Hz,83.0dBm,17.121304%,50%
2023-05-16-15-49-48,calm,0bpm,-1.0Hz,19.0dBm,100.0%,100%
2023-05-16-15-49-49,stress,0bpm,-1.0Hz,48.0dBm,100.0%,67%
2023-05-16-15-49-50,stress,0bpm,440.0Hz,76.0dBm,8.967012%,50%
2023-05-16-15-49-51,stress,0bpm,196.0Hz,42.0dBm,13.439285%,83%
2023-05-16-15-49-52,stress,0bpm,58.0Hz,43.0dBm,19.90298%,67%
2023-05-16-15-49-53,stress,0bpm,220.0Hz,139.0dBm,12.127572%,50%
2023-05-16-15-49-54,stress,0bpm,220.0Hz,63.0dBm,18.02063%,50%
